Common Name,Scientific Name,Count,Reporting Rate
Masked Lapwing,Vanellus miles,259803,17.81%
Red-kneed Dotterel,Erythrogonys cinctus,25959,1.78%
Inland Dotterel,Charadrius australis,665,0.05%
Plains-wanderer,Pedionomus torquatus,119,0.01%
Australian Painted Snipe,Rostratula australis,1681,0.12%
Comb-crested Jacana,Irediparra gallinacea,14286,0.98%
Upland Sandpiper,Bartramia longicauda,1,0.00%
Whimbrel,Numenius phaeopus,37187,2.55%
Little Curlew,Numenius minutus,1375,0.09%
Eurasian Curlew,Numenius arquata,22,0.00%
Eastern Curlew,Numenius madagascariensis,45407,3.11%
Bar-tailed Godwit,Limosa lapponica,47017,3.22%
Hudsonian Godwit,Limosa haemastica,152,0.01%
Black-tailed Godwit,Limosa limosa,8589,0.59%
Ruddy Turnstone,Arenaria interpres,21909,1.50%
Great Knot,Calidris tenuirostris,15164,1.04%
Red Knot,Calidris canutus,10578,0.73%
Ruff,Calidris pugnax,694,0.05%
Broad-billed Sandpiper,Calidris falcinellus,1364,0.09%
Sharp-tailed Sandpiper,Calidris acuminata,38380,2.63%
Stilt Sandpiper,Calidris himantopus,36,0.00%
Curlew Sandpiper,Calidris ferruginea,27630,1.89%
Long-toed Stint,Calidris subminuta,1052,0.07%
Red-necked Stint,Calidris ruficollis,54278,3.72%
Sanderling,Calidris alba,6085,0.42%
Dunlin,Calidris alpina,8,0.00%
Baird's Sandpiper,Calidris bairdii,16,0.00%
Little Stint,Calidris minuta,84,0.01%
White-rumped Sandpiper,Calidris fuscicollis,53,0.00%
Buff-breasted Sandpiper,Calidris subruficollis,30,0.00%
Pectoral Sandpiper,Calidris melanotos,1805,0.12%
Asian Dowitcher,Limnodromus semipalmatus,500,0.03%
Short-billed Dowitcher,Limnodromus griseus,3,0.00%
Latham's Snipe,Gallinago hardwickii,16630,1.14%
Pintail Snipe,Gallinago stenura,34,0.00%
Swinhoe's Snipe,Gallinago megala,82,0.01%
Terek Sandpiper,Xenus cinereus,9052,0.62%
Common Sandpiper,Actitis hypoleucos,14373,0.99%
Green Sandpiper,Tringa ochropus,3,0.00%
Grey-tailed Tattler,Tringa brevipes,23369,1.60%
Wandering Tattler,Tringa incana,1324,0.09%
Lesser Yellowlegs,Tringa flavipes,53,0.00%
Spotted Redshank,Tringa erythropus,2,0.00%
Common Greenshank,Tringa nebularia,41890,2.87%
Common Redshank,Tringa totanus,237,0.02%
Wood Sandpiper,Tringa glareola,5674,0.39%
Marsh Sandpiper,Tringa stagnatilis,13067,0.90%
Nordmann's Greenshank,Tringa guttifer,4,0.00%
Wilson's Phalarope,Steganopus tricolor,1,0.00%
Red-necked Phalarope,Phalaropus lobatus,216,0.01%
Grey Phalarope,Phalaropus fulicarius,8,0.00%
Red-backed Button-quail,Turnix maculosus,417,0.03%
Black-breasted Button-quail,Turnix melanogaster,266,0.02%
Painted Button-quail,Turnix varius,4131,0.28%
Buff-breasted Button-quail,Turnix olivii,14,0.00%
Chestnut-backed Button-quail,Turnix castanotus,71,0.00%
Red-chested Button-quail,Turnix pyrrhothorax,437,0.03%
Little Button-quail,Turnix velox,4008,0.27%
Australian Pratincole,Stiltia isabella,4506,0.31%
Oriental Pratincole,Glareola maldivarum,683,0.05%
Long-tailed Jaeger,Stercorarius longicaudus,313,0.02%
Arctic Jaeger,Stercorarius parasiticus,1474,0.10%
Pomarine Jaeger,Stercorarius pomarinus,1049,0.07%
South Polar Skua,Catharacta maccormicki,26,0.00%
Brown Skua,Catharacta antarcticus,775,0.05%
Common Noddy,Anous stolidus,1324,0.09%
Lesser Noddy,Anous tenuirostris,20,0.00%
Black Noddy,Anous minutus,753,0.05%
Grey Noddy,Procelsterna albivitta,240,0.02%
White Tern,Gygis alba,668,0.05%
Sabine's Gull,Xema sabini,4,0.00%
Silver Gull,Chroicocephalus novaehollandiae,192286,13.18%
Black-headed Gull,Chroicocephalus ridibundus,20,0.00%
Laughing Gull,Leucophaeus atricilla,39,0.00%
Franklin's Gull,Leucophaeus pipixcan,61,0.00%
Pacific Gull,Larus pacificus,36603,2.51%
Black-tailed Gull,Larus crassirostris,3,0.00%
Kelp Gull,Larus dominicanus,7444,0.51%
Lesser Black-backed Gull,Larus fuscus,1,0.00%
Slaty-backed Gull,Larus schistisagus,1,0.00%
Aleutian Tern,Onychoprion aleuticus,28,0.00%
Sooty Tern,Onychoprion fuscatus,1320,0.09%
Bridled Tern,Onychoprion anaethetus,888,0.06%
Little Tern,Sternula albifrons,10430,0.71%
Saunders's Tern,Sternula saundersi,12,0.00%
Fairy Tern,Sternula nereis,6445,0.44%
Common Gull-billed Tern,Gelochelidon nilotica,139,0.01%
Australian Gull-billed Tern,Gelochelidon macrotarsa,21866,1.50%
Caspian Tern,Hydroprogne caspia,48486,3.32%
Whiskered Tern,Chlidonias hybrida,24941,1.71%
White-winged Black Tern,Chlidonias leucopterus,3298,0.23%
Black Tern,Chlidonias niger,2,0.00%
Roseate Tern,Sterna dougallii,619,0.04%
White-fronted Tern,Sterna striata,1228,0.08%
Black-naped Tern,Sterna sumatrana,522,0.04%
Common Tern,Sterna hirundo,7422,0.51%
Arctic Tern,Sterna paradisaea,100,0.01%
Antarctic Tern,Sterna vittata,7,0.00%
Lesser Crested Tern,Thalasseus bengalensis,3964,0.27%
Crested Tern,Thalasseus bergii,72223,4.95%
Red-billed Tropicbird,Phaethon aethereus,1,0.00%
Red-tailed Tropicbird,Phaethon rubricauda,639,0.04%
White-tailed Tropicbird,Phaethon lepturus,238,0.02%
King Penguin,Aptenodytes patagonicus,15,0.00%
Gentoo Penguin,Pygoscelis papua,10,0.00%
Macaroni Penguin,Eudyptes chrysolophus,1,0.00%
Royal Penguin,Eudyptes schlegeli,16,0.00%
Southern Rockhopper Penguin,Eudyptes chrysocome,17,0.00%
Erect-crested Penguin,Eudyptes sclateri,2,0.00%
Fiordland Penguin,Eudyptes pachyrhynchus,35,0.00%
Little Penguin,Eudyptula minor,2468,0.17%
Wilson's Storm-Petrel,Oceanites oceanicus,1095,0.08%
Grey-backed Storm-Petrel,Garrodia nereis,198,0.01%
White-faced Storm-Petrel,Pelagodroma marina,576,0.04%
White-bellied Storm-Petrel,Fregetta grallaria,65,0.00%
Black-bellied Storm-Petrel,Fregetta tropica,137,0.01%
New Zealand Storm-Petrel,Fregetta maoriana,7,0.00%
Wandering Albatross,Diomedea exulans,1081,0.07%
Antipodean Albatross,Diomedea antipodensis,58,0.00%
Northern Royal Albatross,Diomedea sanfordi,8,0.00%
Southern Royal Albatross,Diomedea epomophora,201,0.01%
Light-mantled Sooty Albatross,Phoebetria palpebrata,73,0.01%
Sooty Albatross,Phoebetria fusca,67,0.00%
Indian Yellow-nosed Albatross,Thalassarche carteri,1548,0.11%
